gene_id	log2FoldChange	pvalue	padj	A	B	C	D	E	F	A.readCount	B.readCount	C.readCount	D.readCount	E.readCount	F.readCount	A.fpkm	B.fpkm	C.fpkm	D.fpkm	E.fpkm	F.fpkm
Ubr4	-0.0579975063464389	0.80373093793589	0.948635078287165	2124.34028016611	2058.88539579239	2363.75813210033	1951.2120778266	2331.19777862629	2005.60868569307	2623	1911	2293	1516	2734	2029	12.1719716703564	9.99697578059173	11.4662794450125	8.93396640596181	12.441596252438	9.85603805283742
Ubr5	-0.496151398558149	0.0636456812681623	0.38491987097489	1797.14490342684	1677.49061289835	2003.98857775972	1177.67747441381	1575.73280720607	1129.82293136874	2219	1557	1944	915	1848	1143	17.7488024439071	14.0393071761291	16.7557487109923	9.29427073007318	14.4953488376504	9.57008215124802
Ubr7	-0.0347199257671985	0.905311762321018	0.97509974398609	340.153609481421	256.417961380737	252.560288863751	298.602376026234	242.158072103097	289.622151260753	420	238	245	232	284	293	9.53940377275341	6.09388436181269	5.99644493859785	6.69179144646395	6.32565107428711	6.96622092883367
Ubtd1	0.140975946245786	0.65240358252868	0.896144511754932	104.475751483579	129.286367082725	112.363557086322	111.975891009838	131.311067267172	137.397539335306	129	120	109	87	154	139	6.25710457117972	6.56160766831361	5.69725981845065	5.35902060582488	7.32519811376569	7.05758610405376
Ubtd2	-1.3338718228001	0.0391206996988125	0.313426661256927	22.6769072987614	28.012046201257	23.7097414035358	14.1578712771059	5.96868487578056	9.88471506009397	28	26	23	11	7	10	2.04927507924564	2.14516590618731	1.81395240675024	1.02239186220572	0.502406464234648	0.766125485603698
Ubtf	0.27547007712027	0.32954364014873	0.722773243622965	820.418110487331	762.789565788076	615.422418170039	1055.4049497479	862.048629916307	745.307515531085	1013	708	597	820	1011	754	12.4303384640913	9.79381907987704	7.89411892321327	12.7782044540755	12.1657703911134	9.68506493603264
Ubxn1	0.571469072305824	0.118408125549159	0.49651578146665	807.459877745182	864.063886669543	1293.72719397554	1772.30806805226	946.462887445203	1688.30933226405	997	802	1255	1377	1110	1708	69.1427495002676	62.700523388194	93.78881264115	121.27405493602	75.4899985826732	123.992962300005
Ubxn10	1.22792921445026	0.633571345702084	1	0	0	3.09257496567859	6.43539603504815	0.852669267968652	0	0	0	3	5	1	0	0	0	0.0664193391653347	0.130457768825141	0.0201480222629469	0
Ubxn11	1.25491954130143	0.705751251999882	1	0	2.15477278471208	0	5.14831682803852	0	0	0	2	0	4	0	0	0	0.0698715126186533	0	0.157422680038371	0	0
Ubxn2a	0.102017298920665	0.765849445076952	0.934677535787386	325.575597646503	350.150577515713	589.650960122717	419.58782148514	512.45423004916	425.042747584041	402	325	572	326	601	430	10.5584382578398	9.62281869264875	16.1892036074787	10.8736087699553	15.4797183599333	11.822239940259
Ubxn2b	0.0674500873475777	0.884349101202351	0.970481984486822	55.0724891541348	71.1075018954986	56.6972077041074	42.4736138313178	95.498958012489	52.388989818498	68	66	55	33	112	53	0.758285552186132	0.829684763660522	0.660910090986989	0.467326361586355	1.22477649335854	0.618667668561276
Ubxn4	0.343782026434726	0.292931295490701	0.697384094229615	1279.62548328725	1389.82844613929	1675.1447730759	1229.1606426942	2219.4981045224	2062.94003304161	1580	1290	1625	955	2603	2087	28.4525448986716	26.1878021583479	31.5335757555658	21.8398611751507	45.9677397353209	39.3408882838895
Ubxn6	0.113015576329726	0.729444751000574	0.921613320894025	195.183380678625	189.620005054663	293.794621739466	221.377623605656	230.220702351536	281.714379212678	241	176	285	172	270	285	6.05292105831733	4.98317278194479	7.71344970520448	5.48603893779021	6.6500771344996	7.49290988666729
Ubxn7	-0.459193582741691	0.109377262114313	0.482580747177582	317.476702182659	414.793761057075	426.775345263645	321.769801752408	255.800780390595	265.898835116528	392	385	414	250	300	269	2.81529422309243	3.11704995326548	3.20401018533524	2.2801331165259	2.11287560141346	2.02230979050638
Ubxn8	-0.116969756883873	0.7029790467722	0.913858212396435	556.394118366038	462.198762320741	587.589243478931	619.085098571632	379.43782424605	484.351037944604	687	429	570	481	445	490	18.121008892896	12.7564032412805	16.2015407269573	16.1121384210568	11.510669877057	13.5294268447707
Uchl1	-1.90715717630461	0.635751923500264	1	0	2.15477278471208	0	0	0	0	0	2	0	0	0	0	0	0.141880131825473	0	0	0	0
Uchl3	0.426476567685005	0.245994870543211	0.653671566459047	136.871333338953	94.8100025273314	140.196731777429	199.497277086493	181.618554077323	119.605052227137	169	88	136	155	213	121	13.8618659331286	8.13697482500286	12.0206990055298	16.1454130177781	17.132847303364	10.3891027644678
Uchl4	1.08996408806232	0.00426982558821376	0.102959345229807	79.3691755456648	54.946706010158	80.4069491076432	141.578712771059	196.966600900758	118.616580721128	98	51	78	110	231	120	6.24658548251985	3.66464658910829	5.35755994833633	8.90413566740267	14.4392136657318	8.00673657243658
Uchl5	-0.269597787439454	0.431181837074672	0.788147449318944	354.731621316339	198.239096193511	223.696255850751	203.358514707522	225.104686743724	216.475259816058	438	184	217	158	264	219	17.4696798701074	8.27320850543322	9.32666536330171	8.00295536296304	10.3259427830327	9.1435034530628
Uck1	0.553725305600253	0.0373102211346055	0.307442352292638	249.445980286375	241.334551887753	221.634539206965	370.678811618774	304.402928664809	371.665286259533	308	224	215	288	357	376	11.3778205397319	9.32828254252425	8.55859838795874	13.510870214964	12.9327692928073	14.5396479191039
Uck2	0.367018596429914	0.367451620663479	0.754419792514347	110.954867854654	186.387845877595	179.369348009358	239.396732503791	247.274087710909	127.512824275212	137	173	174	186	290	129	2.14481757169228	3.05324184341942	2.93545119976323	3.69798553076819	4.4522827890082	2.1140593932486
Uckl1	0.133279841050601	0.689779958139289	0.909074912070249	170.886694287095	218.709437648276	287.609471808108	208.50683153556	279.675519893718	253.048705538406	211	203	279	162	328	256	8.45217117788536	9.1669988580833	12.0433097594732	8.24106452910442	12.8847092723628	10.7345409305744
Ucp2	1.03632040351371	0.0164409639374156	0.21057112554999	625.234729808707	712.152405347342	802.007774432647	1485.28940488911	2199.88671135912	701.814769266672	772	661	778	1154	2580	710	14.3378783270505	13.8393075375906	15.5705162457057	27.2179787428929	46.989654028446	13.8033220640915
Uevld	-0.752413543067182	0.111383311131892	0.484477775907944	422.762343212623	130.363753475081	199.986514447215	135.143316736011	155.185806770295	157.166969455494	522	121	194	105	182	159	8.37582206658997	2.18870696860792	3.35439725823658	2.13958089014456	2.86380391831501	2.67061784310051
Ufc1	0.620901867803306	0.0213827009118218	0.240660116430396	834.99612232225	715.38456452441	922.618198094111	1495.58603854519	1098.23801714362	1210.87759486151	1031	664	895	1162	1288	1225	69.4206570773599	50.401498029681	64.9394961616586	99.3616178520368	85.0473662656413	86.3423422275367
Ufd1	0.634547769088671	0.0860127748036208	0.431885887233368	447.059029604153	299.513417074979	535.015469062395	849.472276626356	678.724737303047	462.604664812398	552	278	519	660	796	468	19.6278417438536	11.1435502674233	19.8864220645936	29.8029927379412	27.756294635289	17.419552951977
Ufl1	0.345788447124613	0.187939774685287	0.59746841080005	518.329309685975	453.579671181892	554.60177717836	707.893563855297	682.135414374921	550.578628847234	640	421	538	550	800	557	10.9830074417931	8.1445803153108	9.94899939123996	11.9863364753498	13.4631362850646	10.0058544538238
Ufm1	0.59061222843177	0.0134297050414255	0.19325423756271	692.455562158607	802.652862305249	842.211248986468	1260.05054366243	1137.46080347018	1121.91515932067	855	745	817	979	1334	1135	11.9013326916804	11.6904455734959	12.2548320086182	17.3059181065862	18.2095939530295	16.5380014146611
Ufsp1	0.821760595903414	0.118088654682487	0.495927508754954	23.4867968451457	17.2381822776966	35.0491829443573	56.6314851084237	46.0441404703072	31.6310881923007	29	16	34	44	54	32	2.07129511729237	1.28827706969012	2.61684937367248	3.99097614099206	3.78227145026795	2.39249833421313
Ufsp2	-0.200759798354097	0.554278947067906	0.85057124450831	626.854508901475	410.484215487651	757.680866591254	424.736138313178	540.592315892125	596.048318123666	774	381	735	330	634	603	34.9558488299687	19.397652644945	35.7702566062822	18.9267176442474	28.079094660685	28.5071555995645
Ugcg	-1.1156269091134	8.03078340661091e-05	0.00920714691313057	348.252504945264	492.36558130671	412.343328757145	198.210197879483	184.176561881229	195.717358189861	430	457	400	154	216	198	7.93835051528036	9.51093746603586	7.95751803559427	3.61048053432968	3.91048404180246	3.82634995771003
Ugdh	-0.297613647377914	0.588676463843822	0.865887181275019	3447.69979895811	1275.62548854955	1812.24892988765	638.391286676777	2377.2419190966	2301.16166598988	4257	1184	1758	496	2788	2328	123.647747626007	38.7685512838746	55.0246457125273	18.2956021396751	79.412758148663	70.7820632176954
Uggt1	-0.151363193379145	0.655102654380021	0.896226151512538	1911.33932946703	1870.34277713008	1549.38005780497	1009.07009829555	1838.35494174041	1951.24275286255	2360	1736	1503	784	2156	1974	19.3509696875898	16.0467010248698	13.2802281150456	8.16374186174851	17.3362211088324	16.9432047944723
Uggt2	1.02446383024306	0.021077434623319	0.240068731797603	29.9659132162204	31.2442053783251	31.9566079786787	79.7989108345971	65.6555336335862	44.4812177704229	37	29	31	62	77	45	0.424483625792584	0.375061534975129	0.383245211091593	0.903302847277174	0.866293178416993	0.540417512614504
